worst_rank,task_id,sn,transport_device_id,source_file,source_task_index,actual_start_time,actual_end_time,straight_line_distance_m,planned_total_distance_m,endpoint_altitude_change_m,planned_slope_mean,planned_slope_std,planned_cumulative_ascent_m,planned_cumulative_descent_m,vehicle_prev1_duration_sec,similar_task_actual_distance_km,similar_task_duration_min,similar_task_energy_soc_delta_pct,similar_top3_duration_mean_sec,similar_top3_od_distance_mean_m,fleet_prev60m_speed_mean,fleet_prev60m_speed_min,task_duration_min,residual_model_prediction_min,signed_error_min,absolute_error_min,error_direction
1,8098730973987073,TLE00900CR1450050,55564868388833,TLE00900CR1450050最终有效卸货记录615-707_sorted.json,152,2026-07-04 13:18:04.199,2026-07-04 13:58:06.199,2571.476654306536,4449.468261542945,185.99789999999996,0.04285665306868788,0.033436494071040684,180.09399999999994,1.2219999999998663,1102.997,4.25,24.733366666666665,18.0,1502.6580000000001,100.02441972403756,3.427175236715625,0.001,40.03333333333333,23.33775417291512,-16.695579160418212,16.695579160418212,预测偏短
2,8103349430518017,TLE00860HR1450010,55375199115009,TLE00860HR1450010最终有效卸货记录615-707_sorted.json,210,2026-07-07 19:36:10.160,2026-07-07 20:08:54.041,2907.9503463405995,3538.9842375782314,132.06089999999995,0.03589270973248537,0.03423046131649538,120.23300000000006,2.19399999999996,1005.987,3.25,16.65005,12.799999999999997,1009.6573333333334,34.155264461534976,3.6864936082438913,0.001,32.73135,17.06355477555404,-15.66779522444596,15.66779522444596,预测偏短
3,8100161986642177,TLE00900JR1450046,55564861582721,TLE00900JR1450046最终有效卸货记录615-707_sorted.json,177,2026-07-05 13:33:46.146,2026-07-05 14:05:58.147,2469.689340354067,3821.760256431331,150.14640000000009,0.03910136612021857,0.033781329288768785,144.09400000000005,0.9910000000000991,1145.011,3.75,19.366633333333333,13.200000000000003,1137.6563333333334,39.972609100704666,3.408176570871951,0.0,32.20001666666666,19.981503342908688,-12.218513323757975,12.218513323757975,预测偏短
4,8101229803258113,TLE00900AR1450052,55537321185345,TLE00900AR1450052最终有效卸货记录615-707_sorted.json,192,2026-07-06 07:39:59.114,2026-07-06 08:14:15.129,2844.679929217311,4274.707549237683,189.35169999999994,0.045546437686236424,0.032431652941017595,176.8589999999997,0.37799999999992906,1016.004,4.375,22.7164,18.4,1393.001,52.64816036546268,3.0210305440710457,0.0,34.26691666666667,23.904777380015418,-10.36213928665125,10.36213928665125,预测偏短
5,8100164573364481,TLE00860VR1450004,55374396682433,TLE00860VR1450004最终有效卸货记录615-707_sorted.json,180,2026-07-05 13:36:23.137,2026-07-05 14:06:16.136,3002.6730690550676,3603.2300587833515,114.23129999999992,0.035035416666666645,0.03405443268563838,119.88600000000008,2.254000000000133,1465.003,3.5,20.4,11.200000000000003,1098.668,46.23684180107697,3.4185290523551783,0.0,29.883316666666666,20.230841167436413,-9.652475499230253,9.652475499230253,预测偏短
6,8100174378713345,TLE00860VR1450018,55396247774017,TLE00860VR1450018最终有效卸货记录615-707_sorted.json,155,2026-07-05 13:46:22.155,2026-07-05 14:11:08.162,2749.2677707060952,3405.4938579662066,132.0073,0.04079968944099378,0.033013380261661646,131.85500000000002,0.6860000000000355,1007.011,3.25,15.4669,12.400000000000006,975.7326666666668,46.9812939401595,3.241219539459726,0.0,24.766783333333333,16.93323617665562,-7.833547156677714,7.833547156677714,预测偏短
7,8102313797828865,TLE00900AR1450049,55564866228833,TLE00900AR1450049最终有效卸货记录615-707_sorted.json,180,2026-07-07 02:02:41.024,2026-07-07 02:28:33.035,2840.9052865238828,3493.781931962646,131.36940000000004,0.03635950920245396,0.03365260705684342,120.19299999999987,1.9560000000000173,1469.992,3.375,18.516483333333333,13.200000000000003,1087.7296666666668,39.334374371380015,3.5140814882725455,0.001,25.86685,18.345666611386676,-7.5211833886133235,7.5211833886133235,预测偏短
8,8101236806615297,TLE00900JR1450046,55564861582721,TLE00900JR1450046最终有效卸货记录615-707_sorted.json,190,2026-07-06 07:47:07.136,2026-07-06 08:15:57.137,2404.2022997631093,3783.517004214012,149.69910000000004,0.037825842696629204,0.0334311745722257,135.41200000000003,0.9400000000000546,1190.984,4.0,20.633066666666664,12.0,1267.262,52.13194390183364,2.8055256673513687,0.001,28.83335,22.03829271576786,-6.79505728423214,6.79505728423214,预测偏短
9,8100402036621569,TLE00860VR1450004,55374396682433,TLE00860VR1450004最终有效卸货记录615-707_sorted.json,183,2026-07-05 17:37:57.140,2026-07-05 18:07:44.127,2744.7016439158924,4303.638249107126,188.38290000000006,0.04408285909093186,0.034854096351084426,179.3190000000002,4.082000000000107,999.011,4.625,21.87965,17.200000000000003,1353.9263333333336,95.17671419299002,3.368489654374948,0.001,29.78311666666667,23.05325473333029,-6.729861933336377,6.729861933336377,预测偏短
10,8102543468839169,TLE00860VR1450004,55374396682433,TLE00860VR1450004最终有效卸货记录615-707_sorted.json,206,2026-07-07 05:56:19.091,2026-07-07 06:20:26.087,2860.623431699267,3561.3715841611756,131.938,0.03915946567155958,0.03355986798478301,132.211,1.3220000000001164,1131.999,3.375,15.783266666666666,11.599999999999994,1002.0,50.102565483817365,3.410016645328589,0.001,24.116600000000002,17.423654694037612,-6.69294530596239,6.69294530596239,预测偏短
