mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.08216369152069092,0.012338541145403044,0.0038771629333496094,0.000585127768641375,0.03,3,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-0.8555401850860058,-0.6930964616551203,-0.795570913750503,-0.9039402995038792,-0.812036964998877,0.07867135315740378,1,-0.5155305502246343,-0.6096814178145696,-0.6189400543092227,-0.6388309647755895,-0.5957457467810041,0.04749471706697314
0.09796392917633057,0.012009359504041226,0.006781816482543945,0.0008547142956985083,0.03,3,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-0.8362090993252064,-0.7030654512735526,-0.7951749584446619,-0.9206834205938176,-0.8137832324093096,0.0783186833718199,2,-0.538161679801069,-0.6351753047391371,-0.6291079218707561,-0.6476944326848955,-0.6125348347739644,0.04345923837932045
0.16594356298446655,0.011975066269991353,0.0040898919105529785,0.00019830553102198655,0.03,3,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-0.8899678262041474,-0.7052898923823997,-0.801105312439213,-0.9021251259572671,-0.8246220392457568,0.07916754075651002,5,-0.38830167440752583,-0.5153442427213473,-0.5514532084806509,-0.57662995263794,-0.507932269561866,0.07242213133340497
0.13503509759902954,0.00941546120556769,0.004047989845275879,0.0005830195842056797,0.03,3,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-0.8740851472182914,-0.7176305817881252,-0.7987682379398893,-0.9227853141856263,-0.828317320282983,0.07769105193057653,6,-0.4377249263799147,-0.5689249040362264,-0.5726119576610061,-0.5930571257242907,-0.5430797284503595,0.061517274445462476
0.1729685664176941,0.021455799215340854,0.00411611795425415,0.0007102130789077742,0.03,5,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-0.8842333091890006,-0.7185024503902755,-0.8063975693886349,-0.8886291869378649,-0.8244406289764439,0.06936098554232757,4,-0.3123986084078135,-0.4404416451989589,-0.4771177580126454,-0.5136231365401468,-0.4358952870398911,0.07585019727512107
0.16143107414245605,0.023817024286082466,0.004387319087982178,0.0007880797180091052,0.03,5,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-0.8691028638293119,-0.707049222120961,-0.7956666612405049,-0.9018567771499502,-0.818418881085182,0.07491931168295281,3,-0.3217941982369015,-0.49760697337779797,-0.4960411641397677,-0.5247742665307412,-0.46005415057130206,0.08063775089191628
0.5893886685371399,0.17907365448427348,0.009532392024993896,0.003629128867156885,0.03,5,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-0.9175688904423597,-0.7343219427406991,-0.8180392516175568,-0.8967111112305497,-0.8416602990077913,0.07223604153381219,12,-0.159860903885224,-0.28129171086381904,-0.34249568788635987,-0.3871064506747224,-0.2926886883275313,0.08539403150522908
0.5551816821098328,0.1388933448332961,0.009425699710845947,0.0017807111100266969,0.03,5,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-0.8895211197200541,-0.7269419152201667,-0.8068381003205439,-0.9096360929469616,-0.8332343070519316,0.07245735031625486,7,-0.18875971824930823,-0.35633170659684704,-0.36994989379777754,-0.4161977482538458,-0.3328097667244446,0.08607648143311437
0.13570046424865723,0.012439713301285737,0.0062577128410339355,0.0005672983188069379,0.08,3,200,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-0.9122022359705217,-0.721201635561932,-0.7947298233907235,-0.9322080011878205,-0.8400854240277494,0.08642610927337448,8,-0.3306098104555608,-0.47240079483076675,-0.5164280939325206,-0.5484005060464741,-0.4669598013163305,0.08321752336416224
0.36464011669158936,0.2006514964451508,0.0249863862991333,0.01146275413084969,0.08,3,200,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-0.8948790060438925,-0.7283229181554539,-0.8016163237191483,-0.9375783578691042,-0.8405991514468998,0.0813585928361564,11,-0.38077147782605014,-0.517055641302333,-0.5361371352657276,-0.5636106527472639,-0.49939372678534366,0.07045756314853846
0.5329906940460205,0.29544582288269955,0.006660759449005127,0.0007315846880841479,0.08,3,400,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-0.9136457515337261,-0.7533076927761984,-0.8179063705053962,-0.9638358197753735,-0.8621739086476734,0.08184736201548504,15,-0.18744966623910864,-0.335434298654482,-0.4029362900134415,-0.4480588590187822,-0.34346977848145355,0.09859257847524762
0.22647696733474731,0.03149174197976802,0.006143689155578613,0.0005315002156035855,0.08,3,400,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-0.9346878236291987,-0.7636676839150771,-0.822142839203172,-0.9589606590266763,-0.8698647514435309,0.08014878273431882,16,-0.21908077225825995,-0.3780552670905962,-0.43236091213385186,-0.47285660258879875,-0.37558838851787674,0.09641699064925378
0.24472719430923462,0.02153773535177764,0.005793273448944092,0.000200070011124968,0.08,5,200,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-0.8854414176907663,-0.7456965193039956,-0.8255557831489566,-0.9040613337289788,-0.8401887634681743,0.06178676287465677,9,-0.10790652863871047,-0.22212436822782564,-0.2786363989290264,-0.3268031701218801,-0.23386761647936066,0.08161703336676156
0.22292423248291016,0.02154389733385037,0.00545191764831543,0.0004409477657895132,0.08,5,200,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-0.9039563686188146,-0.7400261299327754,-0.8133503132881063,-0.9044915669096364,-0.8404560946873332,0.06883626896115691,10,-0.13571385452973803,-0.2688337548251097,-0.30414741466488565,-0.35932559400739444,-0.26700515450678197,0.08237621056473894
0.5378700494766235,0.07012021067766631,0.008935987949371338,0.001262911893390511,0.08,5,400,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-0.8841413848324265,-0.7623712847767973,-0.8452182827811988,-0.9160014819039766,-0.8519331085735997,0.05746420339654338,14,-0.026233800669410886,-0.08241533998869066,-0.1342064466659341,-0.1772078424232142,-0.10501585743681247,0.05652691627279235
0.5037252902984619,0.05114137321608752,0.008012115955352783,0.00042449751362875197,0.08,5,400,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-0.8964745635255171,-0.7607527327007609,-0.8293737426188738,-0.9189678555956278,-0.851392223610195,0.061844996216262,13,-0.03830950652904385,-0.1092915364793426,-0.17027000173882464,-0.2188952748745659,-0.13419157990544422,0.06761980593914131
